product_id,product_name
1,Classic Leather Wallet
2,Stainless Steel Watch
3,Portable Bluetooth Speaker
4,Smartphone Camera Lens Kit
5,Wireless Charging Pad
6,Travel Backpack with USB Port
7,Professional Noise-Canceling Headphones
8,Smart Home Security Camera
9,Reusable Stainless Steel Water Bottle
10,Wireless Ergonomic Mouse
11,LED Desk Lamp with Adjustable Brightness
12,Compact Folding Umbrella
13,High-Speed USB Flash Drive
14,Bluetooth Fitness Tracker
15,Insulated Lunch Tote
16,Multi-Port USB Wall Charger
17,Wireless Earbuds with Charging Case
18,Smart Thermostat
19,Electric Toothbrush with UV Sanitizer
20,HD Webcam for Video Conferencing
21,Wireless Keyboard and Mouse Combo
22,Noise-Isolating In-Ear Earphones
23,Portable Power Bank
24,Collapsible Resistance Bands Set
25,Smart Plug with Energy Monitoring
26,Organic Cotton Bed Sheets
27,Hybrid Smartwatch with Health Tracking
28,Mini Projector with Screen Mirroring
29,Aromatherapy Essential Oil Diffuser
30,Adjustable Laptop Stand
31,Yoga Mat with Alignment Lines
32,Reusable Silicone Food Storage Bags
33,Stylish Polarized Sunglasses
34,Cordless Handheld Vacuum Cleaner
35,Wireless Charging Car Mount
36,Compact Espresso Maker
37,Indoor Plant Grow Kit
38,Smart Doorbell Camera
39,Fitness Jump Rope
40,Adjustable Dumbbell Set
41,Coffee Grinder with Precise Settings
42,Smart Voice Assistant Speaker
43,Wireless Bluetooth Ear Warmer Headphones
44,Multi-Function Kitchen Food Processor
45,HD Action Camera with Waterproof Case
46,Professional Barber Hair Clippers
47,Portable Folding Camping Chair